destination,family,model,conditioning_tag,training_stage,source_datasets,fold,size_bytes,sha256,source
models/base/base_model_d_t1x.nequip.pth,base,d,T1x,base training,MPtrj; SPICE2; T1x; OMC25,,13002448,e34acc3ee5a56ecde5e39f2862bc10caad29ebfb6ff27b400537697e6c667084,base_shiftsinit/modelC_shiftsinit_tag2_gpu.nequip.pth
models/base/base_model_d_omc25.nequip.pth,base,d,OMC25,base training,MPtrj; SPICE2; T1x; OMC25,,13002448,7eb1fb60d66fabc4e136583b5e9cc25fbd0581077fdaa1400a47f98d50f818cc,base_shiftsinit/modelC_shiftsinit_tag3_gpu.nequip.pth
models/fine_tuned/finetuned_model_a_mptrj_llm105.nequip.pth,fine_tuned,a,MPtrj,fine-tuned on LLM-105,MPtrj; SPICE2,,13011140,fef746719cdfd25321312bf1892dfeeaf3d308e2e1058c782c4858c8f51f6f63,ft_stress/ft_modelA_llm105-42k_tag0_mptrj_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_a_spice2_llm105.nequip.pth,fine_tuned,a,SPICE2,fine-tuned on LLM-105,MPtrj; SPICE2,,13011140,cd5f5714b720a7c1ec4f76a39b442df4849eb4eb9d70d520e96d96e98f734207,ft_stress/ft_modelA_llm105-42k_tag1_spice_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_b_mptrj_llm105.nequip.pth,fine_tuned,b,MPtrj,fine-tuned on LLM-105,MPtrj; SPICE2; OMC25,,13011268,b5a21de5e1404d09c1c8e545b163ab8e8a59bba79e6126dc67b3fce02da39498,ft_stress/ft_modelB_llm105-42k_tag0_mptrj_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_b_spice2_llm105.nequip.pth,fine_tuned,b,SPICE2,fine-tuned on LLM-105,MPtrj; SPICE2; OMC25,,13011268,a08e3594e717217d3f359ba27499ba1bcfd8bce8fba548323b80c3de2eae1551,ft_stress/ft_modelB_llm105-42k_tag1_spice_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_b_omc25_llm105.nequip.pth,fine_tuned,b,OMC25,fine-tuned on LLM-105,MPtrj; SPICE2; OMC25,,13011268,77481386e31ed3c903b0a648f138a34cbf4d00792534ae509326d1706aeafebd,ft_stress/ft_modelB_llm105-42k_tag2_omc25_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_c_mptrj_llm105.nequip.pth,fine_tuned,c,MPtrj,fine-tuned on LLM-105,MPtrj; SPICE2; T1x,,13011268,1dae7c60a312e3e39e98f14140a4f9e28b884fc254c6a3e80c5e57d954e46238,ft_stress/ft_modelD_llm105-42k_tag0_mptrj_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_c_spice2_llm105.nequip.pth,fine_tuned,c,SPICE2,fine-tuned on LLM-105,MPtrj; SPICE2; T1x,,13011268,6e2774e2443f8b50db4ebe79b867e6d68fbd221c9a7fc3b3ae2186b90bd20fee,ft_stress/ft_modelD_llm105-42k_tag1_spice_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_c_t1x_llm105.nequip.pth,fine_tuned,c,T1x,fine-tuned on LLM-105,MPtrj; SPICE2; T1x,,13013492,22dff0a5c276859a0e1cf232d93361b8ef142cd193e75e1f7d700fedc3e12bb1,ft_stress/ft_modelD_llm105-42k_tag2_t1x_stress_corrected_20260807_final_gpu.nequip.pth
models/fine_tuned/finetuned_model_d_mptrj_llm105.nequip.pth,fine_tuned,d,MPtrj,fine-tuned on LLM-105,MPtrj; SPICE2; T1x; OMC25,,13011268,786a2cfa3181c35032e25f76b437cad820b81bcae497c894cffaa250099f6a68,ft_stress/ft_modelC_llm105-42k_tag0_mptrj_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_d_spice2_llm105.nequip.pth,fine_tuned,d,SPICE2,fine-tuned on LLM-105,MPtrj; SPICE2; T1x; OMC25,,13011268,12844846b1f58e40edc7904114c70bfa5105a3b5ad097efa34d254f2bd718e00,ft_stress/ft_modelC_llm105-42k_tag1_spice_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_d_t1x_llm105.nequip.pth,fine_tuned,d,T1x,fine-tuned on LLM-105,MPtrj; SPICE2; T1x; OMC25,,13009932,4b3ea7e042f5c1cd2111fe1f810fad6d50e50dd68d7d31cf1a89a51bc6a7c231,ft_stress/ft_modelC_llm105-42k_tag2_t1x_stress_corrected_20260807_gpu.nequip.pth
models/fine_tuned/finetuned_model_d_omc25_llm105.nequip.pth,fine_tuned,d,OMC25,fine-tuned on LLM-105,MPtrj; SPICE2; T1x; OMC25,,13011268,d4103ddd2de524a33dcdef856af64021275e33fc0313072e1ce9c014b9905bc4,ft_stress/ft_modelC_llm105-42k_tag3_omc25_stress_corrected_20260807_gpu.nequip.pth
models/specialist/llm105_specialist_fold_1.nequip.pth,specialist,specialist,LLM-105,trained from scratch on LLM-105,LLM-105,1,13005524,a3409c725da267ab661f114b8cad44306c2139fcf44d1cdf8018527cbd442b6e,llm105_5fold/llm105_solo_stress_corrected_20260807_gpu.nequip.pth
models/specialist/llm105_specialist_fold_2.nequip.pth,specialist,specialist,LLM-105,trained from scratch on LLM-105,LLM-105,2,13006908,96a7970127716cfeb2e6d05032bbe540d5910ab0a06e4efd0205402b3152ce3a,llm105_5fold/llm105_solo_stress_corrected_20260807_fold2_gpu.nequip.pth
models/specialist/llm105_specialist_fold_3.nequip.pth,specialist,specialist,LLM-105,trained from scratch on LLM-105,LLM-105,3,13006908,bc7ec26b11c5eddf879159e06c41ab9b5d11dedccae7c8ccd615377e0fd5f1af,llm105_5fold/llm105_solo_stress_corrected_20260807_fold3_gpu.nequip.pth
models/specialist/llm105_specialist_fold_4.nequip.pth,specialist,specialist,LLM-105,trained from scratch on LLM-105,LLM-105,4,13006908,664ef4a0389531ce7136c8e81b45c08005a11a3313a55fc70d6fd35cbbe9adab,llm105_5fold/llm105_solo_stress_corrected_20260807_fold4_gpu.nequip.pth
models/specialist/llm105_specialist_fold_5.nequip.pth,specialist,specialist,LLM-105,trained from scratch on LLM-105,LLM-105,5,13006908,e12711976ad7b6cbb5a1aa9c120fe881da815426bf68507dca18b7a18ddd27f8,llm105_5fold/llm105_solo_stress_corrected_20260807_fold5_gpu.nequip.pth
